User,Label,H.period,DD.period.t,UD.period.t,H.t,DD.t.i,UD.t.i,H.i,DD.i.e,UD.i.e,H.e,DD.e.five,UD.e.five,H.five,DD.five.Shift.r,UD.five.Shift.r,H.Shift.r,DD.Shift.r.o,UD.Shift.r.o,H.o,DD.o.a,UD.o.a,H.a,DD.a.n,UD.a.n,H.n,DD.n.l,UD.n.l,H.l,DD.l.Return,UD.l.Return,H.Return
Sneha,Imposter,0.114,0.552,0.438,0.113,0.595,0.482,0.134,0.242,0.108,0.17,2.292,2.122,0.13,0.48,0.35,0.374,0.163,-0.211,0.247,1.442,1.195,0.121,0.34,0.219,0.176,0.219,0.043,0.104,0.392,0.288,0.117
Sneha,Imposter,0.105,0.468,0.363,0.186,0.198,0.012,0.108,0.417,0.309,0.12,0.652,0.532,0.128,1.245,1.117,0.42,0.272,-0.148,0.197,2.285,2.088,0.114,0.301,0.187,0.221,0.312,0.091,0.084,0.474,0.39,0.118
Sneha,Imposter,0.128,0.52,0.392,0.149,0.361,0.212,0.126,0.304,0.178,0.158,1.097,0.939,0.112,1.141,1.029,0.561,0.408,-0.153,0.213,1.687,1.474,0.125,0.187,0.062,0.169,0.235,0.066,0.094,0.339,0.245,0.094
Sneha,Imposter,0.119,0.533,0.414,0.129,1.424,1.295,0.111,0.338,0.227,0.122,0.715,0.593,0.108,1.645,1.537,0.367,0.251,-0.116,0.127,1.496,1.369,0.124,0.324,0.2,0.212,0.199,-0.013,0.116,0.42,0.304,0.106
Simaan,Imposter,0.153,0.451,0.298,0.122,0.201,0.079,0.156,0.48,0.324,0.151,0.756,0.605,0.115,1.531,1.416,0.303,0.23,-0.073,0.111,0.622,0.511,0.096,0.236,0.14,0.146,0.32,0.174,0.082,0.362,0.28,0.076
Simaan,Imposter,0.188,0.679,0.491,0.165,0.512,0.347,0.129,0.284,0.155,0.176,1.003,0.827,0.095,0.405,0.31,0.35,0.256,-0.094,0.12,0.659,0.539,0.088,0.293,0.205,0.15,0.348,0.198,0.107,0.532,0.425,0.107
Simaan,Imposter,0.109,0.451,0.342,0.192,0.356,0.164,0.135,0.709,0.574,0.119,0.602,0.483,0.12,0.368,0.248,0.361,0.26,-0.101,0.112,0.92,0.808,0.114,0.287,0.173,0.198,0.27,0.072,0.107,0.575,0.468,0.116
Simaan,Imposter,0.143,0.367,0.224,0.174,0.25,0.076,0.16,0.361,0.201,0.117,0.817,0.7,0.087,0.266,0.179,0.283,0.208,-0.075,0.159,0.514,0.355,0.111,0.305,0.194,0.189,0.252,0.063,0.125,0.584,0.459,0.091
Simaan,Imposter,0.123,0.565,0.442,0.084,0.517,0.433,0.112,0.296,0.184,0.172,0.491,0.319,0.105,0.421,0.316,0.272,0.183,-0.089,0.095,0.535,0.44,0.102,0.247,0.145,0.17,0.258,0.088,0.096,0.441,0.345,0.109
Simaan,Imposter,0.14,0.353,0.213,0.158,0.262,0.104,0.13,0.261,0.131,0.171,0.42,0.249,0.143,0.293,0.15,0.358,0.274,-0.084,0.089,0.769,0.68,0.111,0.292,0.181,0.209,0.312,0.103,0.146,0.665,0.519,0.123
Simaan,Imposter,0.143,0.436,0.293,0.157,0.261,0.104,0.156,0.245,0.089,0.187,0.437,0.25,0.165,0.283,0.118,0.327,0.224,-0.103,0.16,0.582,0.422,0.11,0.253,0.143,0.174,0.244,0.07,0.111,0.555,0.444,0.09
Simaan,Imposter,0.101,0.345,0.244,0.176,0.282,0.106,0.118,0.295,0.177,0.16,0.413,0.253,0.131,0.355,0.224,0.347,0.268,-0.079,0.159,0.533,0.374,0.155,0.243,0.088,0.155,0.248,0.093,0.087,0.503,0.416,0.118
Simaan,Imposter,0.149,0.394,0.245,0.179,0.401,0.222,0.142,0.295,0.153,0.151,0.519,0.368,0.089,0.266,0.177,0.478,0.383,-0.095,0.164,0.622,0.458,0.144,0.201,0.057,0.195,0.249,0.054,0.125,0.407,0.282,0.106
Simaan,Imposter,0.109,0.303,0.194,0.175,0.227,0.052,0.15,0.263,0.113,0.181,0.41,0.229,0.114,0.244,0.13,0.266,0.171,-0.095,0.116,0.507,0.391,0.105,0.233,0.128,0.166,0.248,0.082,0.118,0.487,0.369,0.085
Simaan,Imposter,0.126,0.35,0.224,0.18,0.302,0.122,0.154,0.26,0.106,0.157,0.635,0.478,0.111,0.272,0.161,0.266,0.171,-0.095,0.163,0.555,0.392,0.107,0.239,0.132,0.172,0.268,0.096,0.115,0.516,0.401,0.093
Simaan,Imposter,0.115,1.468,1.353,0.165,0.258,0.093,0.15,0.295,0.145,0.175,1.552,1.377,0.093,0.225,0.132,0.237,0.148,-0.089,0.21,0.472,0.262,0.111,0.248,0.137,0.161,0.245,0.084,0.102,0.54,0.438,0.102
Simaan,Imposter,0.105,0.301,0.196,0.178,0.246,0.068,0.118,0.255,0.137,0.149,0.454,0.305,0.107,0.219,0.112,0.281,0.182,-0.099,0.173,0.527,0.354,0.115,0.245,0.13,0.157,0.241,0.084,0.128,0.458,0.33,0.107
Simaan,Imposter,0.149,0.485,0.336,0.169,0.42,0.251,0.169,0.315,0.146,0.174,0.371,0.197,0.13,0.283,0.153,0.259,0.173,-0.086,0.144,0.578,0.434,0.153,0.285,0.132,0.16,0.259,0.099,0.105,0.428,0.323,0.123
Simaan,Imposter,0.14,0.395,0.255,0.171,0.252,0.081,0.112,0.228,0.116,0.135,0.384,0.249,0.113,0.268,0.155,0.255,0.161,-0.094,0.1,0.656,0.556,0.152,0.319,0.167,0.139,0.308,0.169,0.105,0.532,0.427,0.086
Simaan,Imposter,0.143,0.762,0.619,0.16,0.769,0.609,0.134,0.229,0.095,0.15,0.473,0.323,0.144,0.468,0.324,0.305,0.184,-0.121,0.148,0.792,0.644,0.121,0.242,0.121,0.183,0.253,0.07,0.111,0.581,0.47,0.111
Simaan,Imposter,0.151,0.326,0.175,0.18,0.286,0.106,0.143,0.215,0.072,0.157,0.373,0.216,0.121,0.254,0.133,0.27,0.176,-0.094,0.176,0.552,0.376,0.152,0.273,0.121,0.181,0.217,0.036,0.099,0.486,0.387,0.154
Simaan,Imposter,0.153,0.305,0.152,0.196,0.257,0.061,0.176,0.231,0.055,0.178,0.355,0.177,0.122,0.285,0.163,0.324,0.218,-0.106,0.224,0.522,0.298,0.148,0.239,0.091,0.216,0.249,0.033,0.115,0.453,0.338,0.107
Simaan,Imposter,0.13,0.749,0.619,0.167,0.291,0.124,0.154,0.275,0.121,0.166,0.376,0.21,0.135,0.271,0.136,0.303,0.187,-0.116,0.301,0.553,0.252,0.126,0.251,0.125,0.187,0.253,0.066,0.092,0.397,0.305,0.096
Simaan,Imposter,0.173,0.358,0.185,0.189,0.268,0.079,0.124,0.261,0.137,0.164,0.43,0.266,0.134,0.302,0.168,0.395,0.253,-0.142,0.342,0.559,0.217,0.177,0.343,0.166,0.157,0.252,0.095,0.112,0.455,0.343,0.115
